english_text,tatar_text
"The term means the "" six cities "" in Turkic languages and refers to oasis towns along the rim of the Tarim , in what is now southern Xinjiang Uyghur Autonomous Region of China .","Бу термин төрки телләрдә ""алты шәһәр"" дигәнне аңлата һәм хәзерге Кытайның Шеңҗан-Уйгыр автономияле районының көньягында, Тарим бассейны читендә урнашкан оазис шәһәрләренә карый."
It turned out that people loved Coca- Cola in bottles .,Кешеләрнең шешәдәге Coca-Colaны яратуы ачыкланды.
Forvo is an international project which has set itself an unattainable goal and therefore always achieves opposite results .,Forvo – үзенә ирешеп булмаслык максат куйган һәм шуңа күрә һәрвакыт кире нәтиҗәләргә ирешә торган халыкара проект.
"The stadium holds 4,500 people .",Стадион 4500 кеше сыйдыра.
And the first thing is passion .,Һәм беренчесе — дәрт.
It 's blowing hard .,Көчле җил исә.
Antonovka ( Russian : Антоновка ) is the name of several rural localities in Russia .,Antonovka (рус. Антоновка) — Россиядәге берничә авыл җирлеге исеме.
The transient parent of the dialog,Диалогның вакытлыча ата-анасы
"1999 ) 1903 – Theodor Adorno , German sociologist and philosopher ( d .","1999) 1903 – Теодор Адорно, алман социологы һәм фәлсәфәчесе (ү."
Bulgarian rule was restored in 1878 .,Болгар хакимияте 1878 елда торгызылды.
The 1857 Fort Tejon earthquake occurred at about 8 : 20 a.m.,1857 елгы Форт-Техон җир тетрәве иртәнге сәгать 8:20 тирәсендә булган.
"- We do , but many think it a vice .","Без эшлибез, ләкин күпләр моны кимчелек дип саный."
And this be our motto : “ In God is our trust ” .,Һәм шигаребез шул булсын: «Без Аллаһыга таянабыз».
"The highest attendance number that Zoombezi Bay ever achieved was in 2016 with 426,376 guests .","Zoombezi Bay ирешкән иң югары килүчеләр саны 2016 елда теркәлгән, ул вакытта анда 426 376 кунак булган."
You can search words and get translations .,Сез сүзләрне эзли һәм тәрҗемәләрен таба аласыз.
By the beginning of the 21st century only 17 km of the peak of 361 km peak length of the railway remained in commercial use .,XXI гасыр башына тимер юлның иң зур озынлыгы булган 361 чакрымнан бары тик 17 чакрымы гына коммерция максатларында кулланылышта калган.
"During 2007-09 , 62 numbers New Grid substations erected and capacity at 132 number Grid substations augmented besides addition of 1070 circuit km .","2007-09 елларда 62 яңа челтәр подстанциясе төзелде һәм 132 челтәр подстанциясенең куәте арттырылды, моннан тыш 1070 чылбыр км өстәлде."
In retired in 1968 .,Ул 1968 елда пенсиягә чыкты.
2009 Poets Market Listing for Spire Press .,Spire Press өчен 2009 елгы Poets Market исемлеге.
Spacecraft are further studied in the subfield of astrodynamics .,Галәм кораблары астродинамика дип аталган ярдәмче өлкәдә тирәнрәк өйрәнелә.
Other restorations in 1946-1951 have kept its Romanesque appearance .,1946-1951 еллардагы башка төзекләндерү эшләре аның роман стилен саклап калган.
There is an apple on the table .,Өстәлдә алма бар.
"1934 ) on April 16 , 1987 , in Southern Flevoland .",1934) 1987 елның 16 апрелендә Көньяк Флеволандта.
The Province of Avellino ( Italian : Provincia di Avellino ) is a province in the Campania region of Southern Italy .,Авеллино провинциясе (италь. Provincia di Avellino) — Италиянең көньягындагы Кампания төбәгендә урнашкан провинция.
"By his wife , who survived him , he had ten children , of whom three sons and two daughters survived him .","Аның үзеннән соң исән калган хатыныннан ун баласы булган, шуларның өч улы һәм ике кызы аның үзеннән соң исән калган."
"Now only my youngest sister , Cecilia , remained in my care in lreland .",Хәзер Ирландиядә минем карамагымда бары тик иң кече сеңлем Сесилия генә калды.
He wants them to be his servants .,Ул аларның үз хезмәтчеләре булуын тели.
"Olavs wrote "" Galvenos virzienus ētikā "" ( Today 's Trends in Ethics ) while in prison ( 1908 – 1909 ) , a sharp jab against those responsible for his incarceration .","Олавс төрмәдә утырганда (1908–1909) ""Galvenos virzienus ētikā"" (Этикедәге бүгенге юнәлешләр) дигән әсәрен язган, бу аны төрмәгә ябучыларга каршы юнәлтелгән кискен тәнкыйть булган."
"Ian McShane as Amphiaraus , the seer .","Ян МакШейн Амфиарай ролендә, күрәзәче."
The event is placed in the year 1307 by the Chronicon Helveticum ( 1570 ) .,Chronicon Helveticum (1570) вакыйганы 1307 елга нисбәтли.
Tom starts school next year .,Том киләсе елда мәктәпкә бара башлый.
Bike Austin - Austin metro area .,Bike Austin - Austin metro area .
On 15 May 1525 it was dissolved and sold off .,1525 елның 15 маенда ул таратыла һәм сатыла.
The population was estimated to be 90 in 2009 .,2009 елда халык саны 90 кеше тәшкил иткән.
That 's not a cat .,Бу мәче түгел.
The minimum vertical width of the progress bar,Прогресс барының минималь вертикаль киңлеге
"Urged on from place to place by their Tatar guide , they rode from Tabriz to Erivan , from Erivan to Kars , and from Kars to Erzurum .","Татар юлбашчылары тарафыннан урыннан урынга ашыктырылып, алар Тәбриздән Ереванга, Ереваннан Карсқа һәм Карстан Эрзурумга кадәр атта бардылар."
Its range is over 2000 m .,Аның ераклыгы 2000 метрдан артык.
"They played in the Kingston & District League , winning Division One in 1928 – 29 and 1929 – 30 before joining the Surrey Senior League in 1937 .","Алар Кингстон һәм Дистрикт лигасында уйнадылар, 1928–29 һәм 1929–30 елларда Беренче дивизионда җиңделәр, аннары 1937 елда Суррей өлкән лигасына кушылдылар."
I 'm eating .,Мин ашыйм.
"On 5 April 1944 , she was the Oberaufseherin in the Kraków-Płaszów concentration camp , and from June 1944 to April 1945 she was assigned to Neuengamme .","1944 елның 5 апрелендә ул Краков-Плашов концлагерендә өлкән күзәтче (Oberaufseherin) була, ә 1944 елның июненнән 1945 елның апреленә кадәр Нойенгаммега билгеләнә."
"The Attorney General oversees the small Attorney General 's Office and also has responsibility for the Government Legal Department , which is headed by the Treasury Solicitor .","Баш прокурор кечкенә генә Баш прокурор офисына күзәтчелек итә, шулай ук Казначылык солиситоры җитәкчелегендәге Хөкүмәт юридик департаменты өчен дә җаваплы."
Store keepers and neighbours began giving treats or bribes to stop the tricks and children were encouraged to travel door to door for treats as an alternative to trouble making .,"Кибетчеләр һәм күршеләр, шаяруларны туктату өчен, тәм-томнар яки ришвәт бирә башладылар, ә балаларны тәртип бозу урынына өйдән-өйгә йөреп күчтәнәч җыярга өндәделәр."
Chris Hani District Municipality .,Крис Хани район муниципалитеты
Lady Jane Cottrell- Dormer and Miss Clementia Cottrell- Dormer .,Леди Джейн Коттрелл-Дормер һәм Мисс Клементия Коттрелл-Дормер.
The Handsome Suit ( 2008 ) High School Debut ( 2011 ) Go !,Чибәр костюм ( 2008 ) Урта мәктәп дебюты ( 2011 ) Алга !
And whoever is not willing to pay wouldn 't .,Түләргә теләмәгән кеше түләмәс иде.
248 ( two hundred forty-eight ) is the natural number following 247 and preceding 249 .,248 (ике йөз кырык сигез) — 247-дән соң һәм 249-дан алда килүче натураль сан.
The music video is aimed at the 2008 recession .,Музыкаль видео 2008 елгы икътисади кризиска багышланган.
Where is my clock ?,Минем сәгатем кайда?
Grand-ballet in 3 acts .,3 пәрдәле зур балет.
Number of pixels around the header .,Башлык тирәсендәге пиксельләр саны.
History of Nine Elms Locomotive Works & MPD -0.1279,Nine Elms Locomotive Works & MPD тарихы -0.1279
[ sound of flute ],[ флейта тавышы ]
Given the nineteenth of May 1629 .,1629 елның 19 мае.
"What announcement ? "" The King is to marry with Charlotte of Mecklenburg- Strelitz . ""","Нинди игълан? ""Патша Мекленбург-Стрелицтан Шарлоттага өйләнергә җыена."""
"Cast list from and Amadeus Almanac , accessed 4 August 2008 Musical Excerpts from the Seattle 1976 production","Рольләр башкаручылар исемлеге Amadeus Almanac-тан алынды, 2008 елның 4 августында каралды. 1976 елгы Сиэтл куелышыннан музыкаль өзекләр."
The title of this tray icon,Bu trey ikonkasınıñ iseme
Electricity - production : 19.58 billion kWh ( 2015 est . ),"Электр энергиясе - җитештерү: 19,58 миллиард кВт сәг (2015 елгы бәяләмә)"
Focunates - Upper valley of fl .,Focunates - елганың югары үзәне.
A Suicide Crisis Intervention Model with 25 Practical Strategies for Implementation .,Гамәлгә ашыру өчен 25 практик стратегия белән үз-үзенә кул салу кризисына интервенция моделе.
The second event held in 2017 from 27 – 29 October in the same hotel .,2017 елның 27-29 октябрендә шул ук кунакханәдә икенче чара үткәрелде.
Snobbly – Wilbur 's butler .,Сноббли – Уилбурның дворецкие.
That 's the bounty of the King .,Бу - Патшаның юмартлыгы.
The average annual temperature in Rangpur is 24.9 ° C ( 76.8 ° F ) .,"Рангпурда уртача еллык температура 24,9 ° C (76,8 ° F)."
And men come and remove the stone in their hands for the length of a day and a night ; and on the next day it is found on top of its mound .,"Һәм кешеләр килеп, ташны кулларында бер көн һәм бер төн буе читкә алып китәләр; ә икенче көнне ул тагын үз өеме өстендә табыла."
"He beat Singdam Kiatmoo9 on points in a rematch at Rajadamnern on August 8 , 2013 .",Ул 2013 елның 8 августында Раджадамнернда узган реваншта Сингдам Киатму9ны очколар буенча җиңде.
It wouldn 't involve any waiting in,Аның өчен бернинди дә чират торасы булмас иде
March 21 – The Beatles perform at the Cavern Club in Liverpool for the first time .,21 март – The Beatles Ливерпульдәге Cavern Club клубында беренче тапкыр чыгыш ясый.
These then turned the cypher rotors .,Аннары болар шифр роторларын әйләндергәннәр.
This is a coconut .,Бу - кокос.
"In 2008 , the exported about 1.5 million of the 50 million cases of beverages it produced .","2008 елда ул җитештергән 50 миллион тартма эчемлекнең якынча 1,5 миллионын экспортка чыгарды."
"Raised floors were of wood , and might be covered with straw mats in places .",Күтәрелгән идәннәр агачтан ясалган һәм урыны белән салам түшәмәләр белән капланган булырга мөмкин иде.
"Thus , on 22 July , the Romanians occupied Reni , Izmail , Kiliya and Vylkove .","Шулай итеп, 22 июльдә румыннар Рени, Измаил, Килия һәм Вилковоны басып алдылар."
"I 've had enough , thank you .","Миңа җитте, рәхмәт."
1890 : End of the Toucouleur Empire .,1890 : Тукулер империясенең ахыры.
"Among them were : Lite and coconut , which moved to Panathinaikos .",Алар арасында «Панатинаикос»ка күчкән Лайт һәм Коконат бар иде.
"Yeom Jae , Shin Nong ( Hangul : 염재 , Hangul : 신농 ; Hanja : 神農 ) The God of Agriculture and the previous Emperor of the Gods , as the most powerful god .","Йом Җэ, Шин Ноң (Хангыль: 염재, Хангыль: 신농; Ханча: 神農) Игенчелек илаһы һәм Илаһларның элеккеге императоры, иң куәтле илаһ буларак."
Mixed by Nick Lloyd at Gretchen 's Kitchen .,Gretchen's Kitchen студиясендә Ник Ллойд тарафыннан миксланган.
"If a man leaves that same station on foot but takes one massive shortcut , will he spend the rest of his life alone ?","Әгәр бер кеше шул ук станциядән җәяү чыгып китсә, ләкин бик зур кыска юлдан барса, ул гомеренең калган өлешен ялгыз үткәрерме?"
"M. Storozhenko , Creative Work is Independent of Earthly Blessings . / / I. Sharov , 100-Contemporaries : Reflections on Ukraine , 2002 .","М. Стороженко, Иҗат җир нигъмәтләренә бәйле түгел. // И. Шаров, 100 замандаш: Украина турында уйланулар, 2002."
"The Karry K60 was launched on the China car market in the third quarter of 2016 with prices starting from 58,800 yuan to 81,800 yuan .","Karry K60 Кытай автомобиль базарында 2016 елның өченче кварталында сатуга чыкты, бәяләре 58 800 юаньнан 81 800 юаньга кадәр."
Balthasar Melchior Gaspar Keglovich became a fictional character in the poem Keglovichiana by Miroslav Krleža who in another of his poems claimed that Josip Broz Tito was an illegitimate child of Franjo Keglević .,"Балтазар Мельхиор Гаспар Кеглович Мирослав Крлежаның ""Кегловичиана"" поэмасында уйдырма персонажга әйләнде, ә Крлежа үзенең башка бер шигырендә Иосип Броз Титоны Франьо Кеглевичның никахсыз туган баласы дип атаган иде."
These treatments are broken up into two different categories : hydrotherapy and physiotherapy .,Bu däwalawlar ike törle kategoriägä bülenä: gidroterapiä häm fizioterapiä.
"Because that 's why we 're called the dismal science , because we 're always pointing out the trade- offs that people face .","Чөнки шуңа күрә дә безне күңелсез фән дип атыйлар, чөнки без һәрвакыт кешеләр очраша торган компромиссларга ишарә итәбез."
Vergadain ( VUR-guh-dain ) is the dwarf deity of Wealth and Luck .,Vergadain (Вөргәдейн) - байлык һәм уңыш гном илаһы.
"The reason being that in the world there are idolaters , who according to their custom bow down to their idols each day , while we are required to praise and to bow down in our manner of service , seeing that we are not like unto them , may God forbid , since they bow down to vanity and emptiness and pray to that which is no profit , etc . ""","Сәбәбе шул ки, дөньяда потларга табынучылар бар, алар үз гадәтләре буенча һәр көнне үз потларына баш ияләр, ә безгә, үз гыйбадәт кылу рәвешебезчә, мактарга һәм баш ияргә кирәк, чөнки без, Алла сакласын, аларга охшамаганбыз, чөнки алар бушлыкка һәм юкка баш ияләр һәм файда китерми торган нәрсәгә дога кылалар һ.б."
I 'm eating bread .,Мин икмәк ашыйм.
It 's time to leave .,Китәргә вакыт.
""" Touch the sky "" ( in Spanish ) .",Күккә кагыл
Women wear a blouse ( kambal ) and a skirt ( aten or divet ) .,Хатын-кызлар блузка (камбал) һәм итәк (атен яки дивет) кияләр.
"The Brooklyn Exponent was started on September 1 , 1881 by Charles Clough .","""Brooklyn Exponent"" газетасына 1881 елның 1 сентябрендә Чарльз Клаф нигез салган."
There are about 1.5 – 2 million Hmong in China .,"Кытайда якынча 1,5 – 2 миллион hмонг яши."
Svaha followed him and realised his desire .,Сваха аңа иярде һәм аның теләген аңлады.
That 's very nice of you .,Бу сезнең ягыгыздан бик әйбәт.
I do n't know much about politics .,Мин сәясәт турында күп белмим.
"She lost her short term memory . & gt ; & gt ; She won 't remember him tomorrow . & gt ; & gt ; You and I are actually seeing each other . & gt ; & gt ; Don 't worry , you 're not going to suffer any short term memory loss , but was your head shaped","Ул кыска вакытлы хәтерен югалтты. >> Ул аны иртәгә хәтерләмәячәк. >> Син һәм мин чынлыкта очрашып йөрибез. >> Борчылма, синең кыска вакытлы хәтерең югалмаячак, ләкин башыңның формасы"
The town 's stone church dates from 1856 .,Şəhərneñ taş çirkəwe 1856 yıla qarıy.
There 's Susan .,Әнә Сюзан.
""" Kommemorating the Ku Klux Klan "" .",Ku Klux Klan истәлегенә
"In July 1934 , Loritz became commander of KZ Esterwegen .",1934 елның июлендә Лориц Эстервеген концлагере коменданты булды.
Four American Revolutionary War veterans are buried there .,Анда Америка бәйсезлеге сугышының дүрт ветераны җирләнгән.
"I thought you died months ago , said one of the stupid young fairies .","— Мин сине айлар элек үлгәнсеңдер дип уйлаган идем, — диде акылсыз яшь феяларның берсе."
He has wit .,Аның зиһене бар.
"1460 – after 1526 ) , a Portuguese diplomat and explorer .","1460 – 1526 елдан соң), Португалия дипломаты һәм сәяхәтчесе."
"At the same time , Polish leader Józef Piłsudski 's Assault Group began the counteroffensive .",Шул ук вакытта Польша лидеры Юзеф Пилсудскийның һөҗүм төркеме каршы һөҗүм башлады.
There are no roses without thorns .,Tikensiz göl bulmas.
Ivy 's Farm February 22 .,"Айви фермасы, 22 февраль."
"lreland is prospering , but all our tax ends up in London .","Ирландия чәчәк ата, әмма бөтен салымнарыбыз Лондонга китә."
Put the carrots in the pot .,Кишерне кәстрүлгә сал.
""" Yusifu Ceesay Ceesay Joins on Loan "" .",Yusifu Ceesay Ceesay arendağa alındı
The second presidential elections held in 1996 were won by Petar Stoyanov .,1996 елда үткәрелгән икенче президент сайлауларында Петр Стоянов җиңде.
You haven 't heard that she went to the country and fell from her horse ?,"Аның авылга кайтып, атыннан егылып төшкәнен ишетмәдеңмени?"
They are easy to distinguish from each other .,Аларны бер-берсеннән аеру җиңел.
Do they ?,Алармы?
I gotta beep out what I really wanna shout .,Чынлап кычкырасы килгән сүзләремне яшерергә туры килә.
Come anytime .,Теләсә кайсы вакытта кил.
In 1885 the first song festival was held in Keila .,1885 елда Кейлада беренче җыр бәйрәме үткәрелгән.
"Beauty , was indeed very beautiful .",Гүзәл чыннан да бик гүзәл иде.
"Whereupon I was brought down and released . """,Шуннан соң мине аска төшерделәр һәм иреккә җибәрделәр.
"March 11 – 15 , 2015 Southeastern Conference Basketball Tournament , Bridgestone Arena , Nashville .","11–15 март, 2015 ел, Көньяк-көнчыгыш конференциясенең баскетбол турниры, Bridgestone Arena, Нэшвилл."
AIR 2007 SC 71 Ashok Kumara Thakur Vs Union of India .,AIR 2007 SC 71 Ашок Кумар Тхакур Һиндстан Берлегенә каршы.
"Only one aircraft was produced , in 1933-4 , as a testpiece for the Air Ministry .",1933-34 елларда Һава министрлыгы өчен сынау үрнәге буларак бер генә очкыч җитештерелгән.
"Though not described as a detachable hardtop , the roof could ( with a little patience ! ) be removed in one piece , if desired .","Аны алына торган каты түбә дип атамасалар да, теләк булганда, түбәне (бераз сабырлык белән!) бербөтен килеш алып куярга мөмкин иде."
"That we think that , gee , if it 's really true I can get a couple million bucks for a kidney , I might give mine up even if I haven 't really thought through the ramifications of doing so .","Әгәр дә бөер өчен чыннан да берничә миллион доллар алырга мөмкин икән, мин моның нәтиҗәләре турында уйлап та тормыйча, үземнекен бирергә мөмкинмен дип уйлыйбыз."
The club 's next opponent was amateur club Agen .,"Klubnıñ kiläse köndäşe ""Agen"" häwäskär klubı ide."
"However , Doom has made it clear that he trusts neither Loki nor Namor , but merely finds them useful for his own designs .","Әмма Дум Локига да, Нэморга да ышанмавын, аларны бары тик үз максатлары өчен генә файдалы дип санавын ачык аңлатты."
In the 1920s Scudder embraced pacifism .,1920-нче елларда Скаддер пацифизмны кабул итте.
"Mailing address : Moscow , the Kremlin .","Почта адресы: Мәскәү, Кремль."
"Will you return to Barton soon , Sarah ?","Сара, син Бартонга тиздән кайтырсыңмы?"
Churromania Biglari Holdings owns the Steak ' n Shake chain .,Churromania Biglari Holdings Steak 'n Shake челтәренә ия.
Page 247 Chapter 11 : Cakes .,"247 нче бит, 11 нче бүлек: Тортлар."
"The gods beheld , with wrath , an edifice the top of which was to reach the clouds .",Тәңреләр түбәсе болытларга җитәргә тиешле корылмага ачу белән карадылар.
He is therefore a fluent Irish speaker .,Шуңа күрә ул ирланд телендә иркен сөйләшә.
"The Night Heaven Fell , a French import .","""Күк ишелгән төн"" - Франциядән кертелгән фильм."
""" No rest for the righteous ?",Тәкъва кешеләргә ял юкмы?
"Id . , at 669-70 .","Шунда ук, 669-70 битләрдә."
Whether the animation should loop when it reaches the end,Анимация ахырына җиткәч кабатланырга тиешме
The head of state has told us that the damn Yankees are collecting biometric material across the country .,Дәүләт башлыгы безгә ләгънәт төшкән янкиларның бөтен ил буенча биометрик материал җыюлары турында әйтте.
"Ready was born in Hoosick Falls , New York , He started his hotel career in 1903 in the Cooley House , Springfield , Massachusetts and then went on to the Hotel Russwin in Meriden , Connecticut .","Реди Нью-Йоркның Хусик-Фоллс шәһәрендә туган, ул үзенең кунакханә карьерасын 1903 елда Массачусетс штатының Спрингфилд шәһәрендәге Cooley House кунакханәсендә башлаган, аннары Коннектикут штатының Мериден шәһәрендәге Hotel Russwin кунакханәсенә күчкән."
You have many books .,Sizneñ kitaplarığız küp.
"Do not breathe a word to Caroline , but I believe Ste is most obnoxious .","Кэролайнга бер сүз дә әйтмә, ләкин минемчә, Сте бик күңелсез кеше."
What truth ?,Нинди хакыйкать?
"Wu , Bin ; Skarina , Tatiana ; Yee , Adelinda ; Jobin , Marie-Claude ; DiLeo , Rosa ; Semesi , Anthony ; et al . ( June 2010 ) .","Wu, Bin; Skarina, Tatiana; Yee, Adelinda; Jobin, Marie-Claude; DiLeo, Rosa; Semesi, Anthony; һ.б. (Июнь 2010)."
"Place with Sturm 2002 Tschekhov / Russia 2006 European Championships , Belgrade / Serbia 9 .","Sturm белән урын 2002 Чехов / Россия 2006 Европа чемпионаты, Белград / Сербия 9."
""" Give us candy or we 'll trash your house . ""","Безгә кәнфит бирегез, югыйсә өегезне җимерәбез."
"The team ceased operations on December 20 , 1954 in the middle of the 1954-55 QHL season .","Команда 1954-55 елгы QHL сезоны уртасында, 1954 елның 20 декабрендә үз эшчәнлеген туктатты."
That 's right !,Дөрес!
In 1977 he won a national championship in a men 's lightweight eight .,1977 елда ул ир-атлар арасында җиңел үлчәмдәге сигезле ишү буенча ил чемпионатында җиңде.
"They then released "" Your Temperature "" on December 23 , 2014 .","Аннары алар 2014 елның 23 декабрендә ""Your Temperature""ны чыгардылар."
The large hill was built in 1988 .,Зур калкулык 1988 елда төзелгән.
"While doing this the night watchmen should at each post where they blow , whenever the hour rings , call out what hour has struck . ”","Моны эшләгәндә, төнге каравылчылар, сәгать суккан саен, үзләре быргы кычкырта торган һәр урында сәгать ничә сукканын кычкырып әйтергә тиешләр."
The festival of Saint John ( São João ) is celebrated every June 24 .,Изге Иоанн бәйрәме (Сан-Жуан) һәр елның 24 июнендә билгеләп үтелә.
This includes near-death experiences .,Бу үлем алды халәтләрен дә үз эченә ала.
The latter sent him 1618 to the Synod of Dort .,Соңгысы аны 1618 елда Дорт синодына җибәргән.
Sometimes a dehydrogenase catalyzed reaction will look like this : AH + B + ↔ A + + BH when a hydride is transferred .,"Кайвакыт, гидрид күчерелгәндә, дегидрогеназа катализлаган реакция түбәндәгечә күренә: AH + B⁺ ↔ A⁺ + BH."
The Storch had a take off ground roll of 131 feet and a landing roll of 36 feet with 13 miles per hour head wind .,"Storch очкычының 13 миль/сәгать каршы җил булганда очып китү өчен йөгерү аралыгы 131 фут, ә төшеп утыру өчен йөгерү аралыгы 36 фут тәшкил иткән."
"In the years between 1815 , when vast industrial changes began to disrupt the old life-styles in Europe , and Canadian Confederation in 1867 , when immigration of that era passed its peak , more than 150,000 immigrants from Ireland flooded into Saint John , New Brunswick .","Европада зур сәнәгать үзгәрешләре иске яшәү рәвешен җимерә башлаган 1815 елдан алып, бу чор иммиграциясе үзенең иң югары ноктасын узган 1867 елгы Канада Конфедерациясенә кадәрге елларда Ирландиядән 150 000 нән артык иммигрант Сент-Джонга (Нью-Брансуик) агылып килгән."
How can someone so rich be unhappy ?,Шулкадәр бай кеше ничек бәхетсез була ала?
They 're not guys who are able to do that computation .,Алар ул исәпләүне башкара алырлык егетләр түгел.
"He is a confirmed bachelor ( as Lewis himself was at the time of writing ) , and in none of the three books is there any mention of a woman in his life .","Ул, нәкъ язу вакытындагы Льюис үзе кебек үк, өйләнмәгән буйдак, һәм өч китапның берсендә дә аның тормышында хатын-кыз булуы турында бер сүз дә юк."
- I trust it only happened in the play .,Бу бары тик спектакльдә генә булгандыр дип ышанам.
ls she seriously hurt ?,Ул каты яраланганмы?
"After believing himself to be the last living Echidna for some time , Knuckles stumbled upon the existence of others ; his earliest encounters with others of his people would earn him enemies .","Берникадәр вакыт үзен исән калган соңгы Ехидна дип санаганнан соң, Наклз башкаларның да барлыгын белеп ала; үз халкының вәкилләре белән беренче очрашулары аңа дошманнар гына өсти."
Who are they ?,Алар кемнәр?
Nobel Industries became part of Imperial Chemical Industries .,Nobel Industries ширкәте Imperial Chemical Industries составына керде.
The Bolokhoveni princes fought in alliance with the Hungarians .,Болохов кенәзләре венгрлар белән берлектә сугышканнар.
The monastic settlement of Clonmacnoise is approximately 7 km upriver .,Клонмакнойс монастырь бистәсе елга буйлап якынча 7 км өстәрәк урнашкан.
Saumya Rathore Sailesh Gulabani ...,Саумья Ратхор Шайлеш Гулабани ...
"The concert on October 21 , 2017 , at Bienville Plantation in White Springs is part of Party In The Pines .",2017 елның 21 октябрендә Уайт-Спрингстагы Bienville Plantation утарында узачак концерт Party In The Pines чарасының бер өлеше булып тора.
"Groves qualified for 5 events for the 2010 Winter Olympics games held in Vancouver and participated in the 1000 m , 1500 m , 3000 m , 5000 m and team pursuit , more than any other athletes on the Canadian speed skating team .","Гровс Ванкуверда узган 2010 елгы Кышкы Олимпия уеннарында 5 ярышка сайлап алынды һәм 1000 м, 1500 м, 3000 м, 5000 м дистанцияләрдә һәм команда куышуында катнашты, бу Канада тимераякта шуу командасының башка спортчыларына караганда күбрәк."
"The term derives from the Greek words ástron ( ἄστρον ) , meaning "" star "" , and nautes ( ναύτης ) , meaning "" sailor "" .",Бу термин грек телендәге «йолдыз» дигәнне аңлатучы ástron (ἄστρον) һәм «диңгезче» дигәнне аңлатучы nautes (ναύτης) сүзләреннән килеп чыккан.
